dtype,M,K,N,status,ms,tflops,speedup
bf16,16,5120,5120,ok,0.0274,30.7,1.0
fp8_e4m3,16,5120,5120,ok,0.0261,32.1,1.047
int8,16,5120,5120,err:RuntimeError,,,
int4,16,5120,5120,ok,0.0455,18.4,0.602
bf16,64,5120,5120,ok,0.0281,119.3,1.0
fp8_e4m3,64,5120,5120,ok,0.0265,126.4,1.06
int8,64,5120,5120,ok,0.0237,141.7,1.188
int4,64,5120,5120,ok,0.1281,26.2,0.22
bf16,256,5120,5120,ok,0.036,373.3,1.0
fp8_e4m3,256,5120,5120,ok,0.0296,453.9,1.216
int8,256,5120,5120,ok,0.0431,311.6,0.835
int4,256,5120,5120,ok,0.4716,28.5,0.076
bf16,1024,5120,5120,ok,0.0807,665.2,1.0
fp8_e4m3,1024,5120,5120,ok,0.0544,986.3,1.483
int8,1024,5120,5120,ok,0.087,616.9,0.927
int4,1024,5120,5120,ok,1.8266,29.4,0.044
bf16,4096,5120,5120,ok,0.2795,768.4,1.0
fp8_e4m3,4096,5120,5120,ok,0.161,1334.2,1.736
int8,4096,5120,5120,ok,0.2471,869.0,1.131
int4,4096,5120,5120,ok,7.3868,29.1,0.038
bf16,16,5120,13824,ok,0.0491,46.2,1.0
fp8_e4m3,16,5120,13824,ok,0.0357,63.4,1.373
int8,16,5120,13824,err:RuntimeError,,,
int4,16,5120,13824,ok,0.0929,24.4,0.528
bf16,64,5120,13824,ok,0.0493,183.7,1.0
fp8_e4m3,64,5120,13824,ok,0.0376,241.3,1.313
int8,64,5120,13824,ok,0.0388,233.8,1.273
int4,64,5120,13824,ok,0.3243,27.9,0.152
bf16,256,5120,13824,ok,0.0657,551.5,1.0
fp8_e4m3,256,5120,13824,ok,0.0432,839.5,1.522
int8,256,5120,13824,ok,0.0739,490.2,0.889
int4,256,5120,13824,ok,1.2459,29.1,0.053
bf16,1024,5120,13824,ok,0.2158,671.6,1.0
fp8_e4m3,1024,5120,13824,ok,0.1146,1265.1,1.884
int8,1024,5120,13824,ok,0.2024,716.3,1.067
int4,1024,5120,13824,ok,4.9408,29.3,0.044
bf16,4096,5120,13824,ok,0.742,781.4,1.0
fp8_e4m3,4096,5120,13824,ok,0.4372,1326.3,1.697
int8,4096,5120,13824,ok,0.801,723.8,0.926
int4,4096,5120,13824,ok,19.7377,29.4,0.038
bf16,16,13824,5120,ok,0.0522,43.4,1.0
fp8_e4m3,16,13824,5120,ok,0.0386,58.7,1.352
int8,16,13824,5120,err:RuntimeError,,,
int4,16,13824,5120,ok,0.1056,21.5,0.494
bf16,64,13824,5120,ok,0.0535,169.3,1.0
fp8_e4m3,64,13824,5120,ok,0.0371,244.1,1.441
int8,64,13824,5120,ok,0.042,215.7,1.274
int4,64,13824,5120,ok,0.3286,27.6,0.163
bf16,256,13824,5120,ok,0.0721,502.9,1.0
fp8_e4m3,256,13824,5120,ok,0.0478,757.5,1.506
int8,256,13824,5120,ok,0.0742,488.2,0.971
int4,256,13824,5120,ok,1.244,29.1,0.058
bf16,1024,13824,5120,ok,0.1901,762.6,1.0
fp8_e4m3,1024,13824,5120,ok,0.1104,1313.2,1.722
int8,1024,13824,5120,ok,0.2045,709.0,0.93
int4,1024,13824,5120,ok,4.9559,29.2,0.038
bf16,4096,13824,5120,ok,0.7248,800.0,1.0
fp8_e4m3,4096,13824,5120,ok,0.4331,1338.9,1.674
int8,4096,13824,5120,ok,0.7459,777.3,0.972
int4,4096,13824,5120,ok,19.6073,29.6,0.037
